"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON"
22701,"Nemichthyidae","snipe eel unid.",1984,NA,NA,NA,NA,NA,NA,22701,"Nemichthyidae","snipe eel unid.",56,"Misc. fish deep",22701,"Nemichthyidae","snipe eel unid.",59,"Misc. fish deep","Chordata","Actinopterygii","Anguilliformes","Nemichthyidae",NA,NA
22702,"Nemichthys scolopaceus","slender snipe eel",1984,NA,NA,NA,NA,NA,NA,22702,"Nemichthys scolopaceus","slender snipe eel",56,"Misc. fish deep",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Anguilliformes","Nemichthyidae","Nemichthys","scolopaceus"
22703,"Avocettina sp.",NA,1989,NA,NA,NA,NA,NA,NA,22703,"Avocettina sp.","(blank)",56,"Misc. fish deep",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Anguilliformes","Nemichthyidae","Avocettina",NA
22704,"Avocettina infans","blackline snipe eel",1984,NA,NA,NA,NA,NA,NA,22704,"Avocettina infans","blackline snipe eel",56,"Misc. fish deep",22704,"Avocettina infans","blackline snipe eel",59,"Misc. fish deep","Chordata","Actinopterygii","Anguilliformes","Nemichthyidae","Avocettina","infans"
22721,"Serrivomer sector","sawtooth eel",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Anguilliformes","Serrivomeridae","Serrivomer","sector"
22800,"Notacanthidae","spiny eel unid.",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Albuliformes","Notacanthidae",NA,NA
22900,"Oneirodidae","dreamer unid.",1984,NA,NA,NA,NA,NA,NA,22900,"Oneirodidae","dreamer unid.",56,"Misc. fish deep",22900,"Oneirodidae","dreamer unid.",59,"Misc. fish deep","Chordata","Actinopterygii","Lophiiformes","Oneirodidae",NA,NA
22912,"Oneirodes sp.",NA,1984,22912,"Oneirodes sp.","(blank)",62,"misc_fish_deep","Misc. fish deep",22912,"Oneirodes sp.","(blank)",56,"Misc. fish deep",22912,"Oneirodes sp.","",59,"Misc. fish deep","Chordata","Actinopterygii","Lophiiformes","Oneirodidae","Oneirodes",NA
22913,"Oneirodes acanthias","spiny dreamer",1984,NA,NA,NA,NA,NA,NA,22913,"Oneirodes acanthias","spiny dreamer",56,"Misc. fish deep",22913,"Oneirodes acanthias","spiny dreamer",59,"Misc. fish deep","Chordata","Actinopterygii","Lophiiformes","Oneirodidae","Oneirodes","acanthias"
22915,"Oneirodes thompsoni",NA,1984,NA,NA,NA,NA,NA,NA,22915,"Oneirodes thompsoni","(blank)",56,"Misc. fish deep",NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Lophiiformes","Oneirodidae","Oneirodes","thompsoni"
22226,"Careproctus phasma","monster snailfish",1984,22226,"Careproctus phasma","monster snailfish",76,"misc_fish_shallow","Misc. fish shallow",22226,"Careproctus phasma","monster snailfish",72,"Misc. fish shallow",22226,"Careproctus phasma","monster snailfish",73,"Misc. fish shallow","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","phasma"
22228,"Careproctus cypselurus","blackfin snailfish",1984,22228,"Careproctus cypselurus","blackfin snailfish",76,"misc_fish_shallow","Misc. fish shallow",22228,"Careproctus cypselurus","blackfin snailfish",72,"Misc. fish shallow",22228,"Careproctus cypselurus","blackfin snailfish",73,"Misc. fish shallow","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","cypselurus"
22229,"Careproctus furcellus","emarginate snailfish",1984,NA,NA,NA,NA,NA,NA,22229,"Careproctus furcellus","emarginate snailfish",72,"Misc. fish shallow",22229,"Careproctus furcellus","emarginate snailfish",73,"Misc. fish shallow","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","furcellus"
22230,"Careproctus abbreviatus","short snailfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","abbreviatus"
22232,"Careproctus scottae","peachskin snailfish",1984,22232,"Careproctus scottae","peachskin snailfish",76,"misc_fish_shallow","Misc. fish shallow",22232,"Careproctus scottae","peachskin snailfish",72,"Misc. fish shallow",22232,"Careproctus scottae","peachskin snailfish",73,"Misc. fish shallow","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","scottae"
22233,"Careproctus gilberti","smalldisk snailfish",1984,22233,"Careproctus gilberti","smalldisk snailfish",76,"misc_fish_shallow","Misc. fish shallow",22233,"Careproctus gilberti","smalldisk snailfish",72,"Misc. fish shallow",22233,"Careproctus gilberti","smalldisk snailfish",73,"Misc. fish shallow","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","gilberti"
22235,"Careproctus colletti","Alaska snailfish",1984,NA,NA,NA,NA,NA,NA,22235,"Careproctus colletti","Alaska snailfish",72,"Misc. fish shallow",22235,"Careproctus colletti","Alaska snailfish",73,"Misc. fish shallow","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","colletti"
22236,"Careproctus rastrinus","salmon snailfish",1984,22236,"Careproctus rastrinus","salmon snailfish",76,"misc_fish_shallow","Misc. fish shallow",22236,"Careproctus rastrinus","salmon snailfish",72,"Misc. fish shallow",22236,"Careproctus rastrinus","salmon snailfish",73,"Misc. fish shallow","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus","rastrinus"
