"predator","model","stratum_bin","year","lbin","pred_n","pred_full","tot_wt","tot_sci","prey_guild","prey_n","prey_wt","prey_sci","dietprop_wt","dietprop_sci"
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"amphipods",1,0.1,0.000174689013378953,0.032258064516129,0.032258064516129
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"benthos",0,0,0,0,0
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"copepods",1,1.44,0.00251552179265693,0.464516129032258,0.464516129032258
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"euphausiids",0,0,0,0,0
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"fish_other",0,0,0,0,0
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"pollock",0,0,0,0,0
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"squids",0,0,0,0,0
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,"zoop_other",1,1.56,0.00272514860871167,0.503225806451613,0.503225806451613
"Atka.mackerel","AI",211,2012,"[20,999)",2,2,3.1,0.00541535941474755,NA,0,0,0,0,0
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"amphipods",15,15.165,0.0369402516331654,0.154744897959184,0.168129897870778
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"benthos",1,0.175,0.000236553006416506,0.00178571428571429,0.00107664758769876
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"copepods",17,29.3,0.0571145434230954,0.298979591836735,0.259951189505156
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"euphausiids",11,10.715,0.0592398191556166,0.109336734693878,0.26962417157914
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"fish_other",2,20.6,0.0263977630080207,0.210204081632653,0.120146804700453
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"pollock",0,0,0,0,0
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"squids",0,0,0,0,0
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,"zoop_other",14,22.045,0.0397836378593276,0.224948979591837,0.181071288756773
"Atka.mackerel","AI",211,2014,"[20,999)",20,20,98,0.219712568085642,NA,0,0,0,0,0
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"amphipods",3,24.41,0.0301494685211691,0.43981981981982,0.483720158423154
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"benthos",0,0,0,0,0
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"copepods",2,25.5,0.0254126097304885,0.459459459459459,0.407721668332117
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"euphausiids",4,5.59,0.00676624939019892,0.100720720720721,0.108558173244729
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"fish_other",0,0,0,0,0
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"myctophids",0,0,0,0,0
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"pollock",0,0,0,0,0
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"squids",0,0,0,0,0
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,"zoop_other",0,0,0,0,0
"Atka.mackerel","AI",211,2016,"[20,999)",4,4,55.5,0.0623283276418566,NA,0,0,0,0,0
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"amphipods",2,1.86735,0.00248884823252223,0.0410496812486261,0.030260947700425
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"benthos",0,0,0,0,0
"Atka.mackerel","AI",211,2018,"[20,999)",6,6,45.49,0.0822462091128518,"copepods",3,9.0104,0.0414502623007315,0.198074302044405,0.503977785089847
