NODC_CODE,RACE,BASE_NAME,EGOA_PREY,A_L_mm_g,B_L,CA,CB,C_TM,C_TO,C_Q
8793010703,24191,Lycodes brevipes (shortfin eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010705,24187,Lycodes concolor (ebony eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010706,24190,Lycodes diapterus (black eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010709,24186,Lycodes mucosus (saddled eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010710,24185,Lycodes palearis (wattled eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010711,24188,Canadian eelpout Lycodes polaris,Slope_demersals,,,NA,NA,NA,NA,NA
8793010712,24184,Lycodes raridens (marbled eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010714,24189,Lycodes turneri (polar eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010723,24181,Lycodes rossi (threespot eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8793010801,24200,Lycodopsis pacifica (blackbelly eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
8794010000,21200,Macrouridae (rattail),Slope_demersals,,,NA,NA,NA,NA,NA
8794010100,21210,Coryphaenoides sp. (rattail),Slope_demersals,,,NA,NA,NA,NA,NA
8794010101,21220,Coryphaenoides acrolepis (Pacific rattail),Slope_demersals,,,NA,NA,NA,NA,NA
8794010105,21232,Coryphaenoides cinereus (popeye grenadier),Slope_demersals,,,NA,NA,NA,NA,NA
8794010106,21238,Coryphaenoides filifer (rattail),Slope_demersals,,,NA,NA,NA,NA,NA
8794010108,21230,Albatrosia pectoralis (giant grenadier),Slope_demersals,,,NA,NA,NA,NA,NA
8794010807,21201,Nezumia stelgidolepis,Slope_demersals,,,NA,NA,NA,NA,NA
8794010811,21202,Nezumia liolepis,Slope_demersals,,,NA,NA,NA,NA,NA
8800000000,0,Gnathostomata,MISC_NA,,,NA,NA,NA,NA,NA
8803030000,0,Scomberesocidae (sauries),Pacific_saury,,,NA,NA,NA,NA,NA
8803030101,23562,Cololabis saira (Pacific saury),Pacific_saury,,,NA,NA,NA,NA,NA
8808020000,22300,Melamphaedae (melamphids),Slope_forage_fish,,,NA,NA,NA,NA,NA
8808020101,22320,Melamphaes lugubris (highsnout bigscale),Slope_forage_fish,,,NA,NA,NA,NA,NA
8808020201,22311,Crested Bigscale Poromitra crassiceps,Slope_forage_fish,,,NA,NA,NA,NA,NA
8808020205,0,Poromitra curilensis (Bigscale),Slope_forage_fish,,,NA,NA,NA,NA,NA
8818010000,0,Stickleback Gasterosteidae,Shelf_forage_fish,,,NA,NA,NA,NA,NA
8818010101,21752,Gasterosteus aculeatus (3-spined stickleback),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8818010201,21753,Pungitius pungitius (ninespine stickleback),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8825000000,0,Scorpaeniformes (rockfish and cottid),MISC_NA,,,NA,NA,NA,NA,NA
8826000000,0,Scorpaeniformes Scorpaenoidei (rockfish),MISC_NA,,,NA,NA,NA,NA,NA
8826010000,30000,Scorpaenidae,MISC_NA,,,NA,NA,NA,NA,NA
8826010100,30040,Sebastes sp. (rockfish),MISC_NA,,,NA,NA,NA,NA,NA
8826010101,30051,Sebastes aleutianus (rougheye rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010102,30060,Sebastes alutus (Pacific ocean perch),POP,,,NA,NA,NA,NA,NA
8826010104,30090,Sebastes aurora (aurora rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010105,30475,Sebastes babcocki (redbanded rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010106,30100,Sebastes brevispinis (silvergray rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010107,30576,Sebastes borealis (shortraker rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010109,30151,Sebastes ciliatus (dark rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010110,30170,Sebastes crameri (darkblotched rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010111,30190,Sebastes diploproa (splitnose rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010112,30200,Sebastes elongatus (greenstriped rockfish),Slope_rockfish,,,NA,NA,NA,NA,NA
8826010114,30220,Sebastes entomelas (widow rockfish),Pelagic_shelf_rockfish,,,NA,NA,NA,NA,NA
