NODC_CODE,RACE,BASE_NAME,EGOA
5515050100,NA,Ungulinidae Diplodonta sp.,Infauna
5515050102,NA,Ungulinidae Diplodonta aleutica,Infauna
5515100201,NA,Odontogena borealis (clam),Infauna
5515170000,74651,Carditidae ,Infauna
5515170100,74656,Cyclocardia sp. (cardita clam),Infauna
5515170102,74655,Cyclocardia crebricostata (thickribbed cardita),Infauna
5515170105,74654,Cyclocardia crassidens,Infauna
5515190100,74640,Astarte sp. (clam),Infauna
5515220000,NA,Cardiidae (cockles),Infauna
5515220100,74980,Clinocardium sp. (cockle),Infauna
5515220101,74983,Clinocardium ciliatum (Iceland cockle),Infauna
5515220102,74982,Clinocardium nuttalli (cockle),Infauna
5515220104,74985,California cockle Clinocardium californiense,Infauna
5515220200,75284,Cardiidae Serripes sp.,Infauna
5515220201,NA,Serripes groenlandicus (Greenland cockle),Infauna
5515220701,NA,Trachycardium muricatum (clam),Infauna
5515250100,NA,Spisula sp. (clam),Infauna
5515250101,NA,Spisula polynyma (clam),Infauna
5515250200,NA,Tresus sp. (clam),Infauna
5515290100,NA,Siliqua sp.(razor clam),Infauna
5515290102,NA,Siliqua alta (northern razor clam),Infauna
5515310000,NA,Tellinidae (clam),Infauna
5515310100,75240,Macoma sp. (clam),Infauna
5515310101,75242,Macoma calcarea (clam),Infauna
5515310107,75246,Macoma moesta  (clam),Infauna
5515310200,NA,Tellina sp. (clam),Infauna
5515310201,75205,Alaska great tellin Tellina lutea,Infauna
5515470800,NA,Tapes sp. (Manila clam),Infauna
5517010000,NA,Myidae (clam),Infauna
5517010200,75330,Mya sp. (soft shell clam),Infauna
5520050201,75410,clam Lyonsia arenosa,Infauna
5520100100,75551,Cardiomya sp. (clam),Infauna
5600000000,NA,Scaphopoda,Infauna
5600010000,77010,tusk shell Dentaliidae,Infauna
5602040100,77015,Cadulus sp. (scaphopod),Infauna
5700000000,78000,Cephalopoda (squid and octopus),Squid
5704020100,NA,Rossia sp. (squid),Squid
5704020101,NA,Rossia pacifica (eastern Pacific bobtail),Squid
5705000000,NA,Teuthida (squid),Squid
5706000000,NA,Myopsida (squid),Squid
5706010000,NA,Loliginidae (squid),Squid
5706010100,NA,Loligo sp. (squid),Squid
5706010101,NA,Loligo opalescens (squid),Squid
5707000000,NA,Oegopsida (squid),Squid
5707020103,79352,Abraliopsis felis (squid),Squid
5707030000,79199,Gonatidae (squid),Squid
5707030100,79250,Gonatopsis sp. (squid),Squid
5707030102,79252,Gonatopsis borealis (squid),Squid
5707030200,79200,Gonatus sp. (squid),Squid
5707030202,NA,Gonatus magister (squid),Squid
5707030203,79203,Gonatus pryo (squid),Squid
5707030205,79202,Gonatus berryi (squid),Squid
5707030206,79201,Gonatus onyx (squid),Squid
5707030207,79211,Berryteuthis anonychus (formerly Gonatus),Squid
5707030277,79205,Madoka armhook squid Gonatus madokai,Squid
5707030300,NA,Berryteuthis sp. (squid),Squid
5707030301,79210,Berryteuthis magister (squid),Squid
5707040100,NA,Octopoteuthis sp. (octopopteuthid squid),Squid
5707040103,79504,Octopoteuthis deletron (octopoteuthid squid),Squid
5707050000,NA,Onychoteuthidae,Squid
5707050101,79302,Moroteuthis robusta (squid),Squid
5707050200,NA,Onychoteuthis sp. (squid),Squid
5707050203,78312,Onychoteuthis borealijaponica (squid),Squid
5707110100,79509,Histeoteuthis sp. (squid),Squid
5707110107,79510,Histioteuthis heteropsis (histiotheuthid squid),Squid
5707150402,79260,Ommastrephes bartrami (neon flying Squid),Squid
5707150501,79365,Dosidicus gigas (giant squid),Squid
5707170100,79403,Chirotheuthis sp. (chiroteuthid squid),Squid
5707170103,79404,Chirotheuthis calyx (chirotheuthid squid),Squid
5707230000,79406,Squid Cranchiidae,Squid
5707230201,79340,Galiteuthis phyllura,Squid
5707230301,NA,Taonius pavo (squid),Squid
5707230401,79340,Galiteuthis phyllura  (squid),Squid
5707230800,NA,Galiteathis sp. (cranchiid squid),Squid
5707230901,79443,Belonella borealis (cranchiid squid),Squid
5707240101,NA,Vampycoteuthis infernalis (vampire squid),Squid
5708000000,NA,Octopoda (octopus),Octopus
5708010000,78010,Octopodidae (octopus),Octopus
5708010199,78012,Benthoctopus leioderma,Octopus
5708010200,78020,Octopus sp. (octopus),Octopus
5708010201,NA,Octopus dofleini (giant Pacific octopus),Octopus
5708020101,78022,Japetella diaphana (octopus),Octopus
5708020102,78021,Japatella heathi (octopod),Octopus
5708030101,NA,Octops,Octopus
5708070101,78030,flapjack devilfish Opisthoteuthis californiana,Octopus
5900000000,NA,Arachnida,Infauna
5905000000,NA,Scorpiones,Infauna
6000000000,69900,Pycnogonida (sea spider),Infauna
6100000000,60001,Crustacea,Motile_epifauna
6109050000,NA,Polyphemidae (cladoceran),Infauna
6110000000,NA,Ostracoda,Infauna
6111000000,NA,Myodocopa (ostracoda),Infauna
6111020300,NA,Cypridina sp (Ostracoda),Infauna
6111030000,NA,Cylindroleberididae (ostracod),Infauna
6111050100,NA,Conchoecia sp. (Ostracoda),Infauna
6117000000,64500,Copepoda,Cope_UNID
6118000000,NA,Calanoida (copepod),Cope_UNID
6118010000,NA,Calanidae (copepod),Cope_UNID
6118010200,NA,Calanus sp.,Cope_Calanus
6118010201,NA,Calanus cristatus  (copepod),Cope_Calanus
6118010202,NA,Calanidae (copepod) Calanus hyperboreus,Cope_Calanus
6118010203,NA,Calanus glacialis,Cope_Calanus
6118010204,NA,Calanus marshallae (copepod),Cope_Calanus
6118010205,NA,Calanus pacificus (copepod),Cope_Calanus
6118010206,NA,Calanus plumchrus (copepod),Cope_Calanus
6118010208,NA,Calanidae (copepod) Calanus finmarchicus,Cope_Calanus
6118010299,NA,Calanidae (copepod) Calanus glacialis/marshallae,Cope_Calanus
6118010400,NA,Neocalanus sp. (copepod),Large_copepods
6118010403,NA,Neocalanus cristatus (copepod),Large_copepods
6118010404,NA,Neocalanus plumchrus (copepod),Large_copepods
6118010499,NA,Calanidae (copepod) Neocalanus flemingeri/plumchru,Large_copepods
6118019900,NA,Mesocalanus sp.,Small_copepods
6118030000,NA,Eucalanidae (copepod),Small_copepods
6118030100,NA,Eucalanus sp. (copepod),Small_copepods
6118030102,NA,Eucalanus bungii (copepod),Small_copepods
6118030200,NA,Rhincalanus sp. (copepod),Small_copepods
6118040100,NA,Paracalanus sp. (copepod),Small_copepods
6118050000,NA,Pseudocalanidae (copepod),Small_copepods
6118050100,NA,Clausocalanus sp.,Small_copepods
6118050200,NA,Ctenocalanus so.,Small_copepods
6118050400,NA,Clausocalanidae (copepod) Microcalanus sp.,Small_copepods
6118050402,NA,Clausocalanidae (copepod) Microcalanus pygmaeus,Small_copepods
6118050500,NA,Pseudocalanus sp. (copepod),Small_copepods
6118070000,NA,Aetideidae (copepod),Small_copepods
6118070100,NA,Aetideopsis sp. (copepod),Small_copepods
6118070200,NA,Aetideus sp. (copepod),Small_copepods
6118070201,NA,Aetideus armatus,Small_copepods
6118070600,NA,Chiridius sp. (copepod),Small_copepods
6118070900,NA,Euchirella sp. (copepod),Small_copepods
6118070903,NA,Euchirella curticauda (copepod),Small_copepods
6118071000,NA,Gaetanus sp. (copepod),Small_copepods
6118071100,NA,Gaidius sp. (copepod),Small_copepods
6118080000,NA,Euchaetidae (copepod),Small_copepods
6118080100,NA,Euchaeta sp. (copepod),Small_copepods
6118080110,NA,Euchaeta elongata (copepod),Small_copepods
6118160000,NA,Metridiidae (copepod),Small_copepods
6118160101,NA,Gaussia princeps (copepod),Small_copepods
6118160200,NA,Metridia sp. (copepod),Small_copepods
6118160207,NA,Metridia lucens (copepod),Small_copepods
6118160208,NA,Metridia okhotensis (copepod),Small_copepods
6118160210,NA,Metridiidae (copepod) Metridia priceps,Small_copepods
6118160299,NA,Metridiidae (copepod) Metridia lucens/pacifica,Small_copepods
6118160300,NA,Pleuromamma sp. (copepod),Small_copepods
6118160305,NA,Metridiidae (copepod) Pleuromamma robusta,Small_copepods
6118160306,NA,Pleuromamma scutullata (copepod),Small_copepods
6118170100,NA,Centropages sp.,Small_copepods
6118170101,NA,Centropagidae (copepod) Centropages abdominalis,Small_copepods
6118200000,NA,Temoridae (copepod) ,Small_copepods
6118200203,NA,Temoridae (copepod) Eurytemora herdmani,Small_copepods
6118210100,NA,Lucicutia sp. (copepod),Small_copepods
6118220200,NA,Heterorhabdus sp. (copepod),Small_copepods
6118220210,NA,Heterorhabdus tanneri (copepod),Small_copepods
6118220300,NA,Heterostylites sp (copepod),Small_copepods
6118220302,NA,Heterostylites major (copepod),Small_copepods
6118230601,NA,Pachyptilus pacificus (copepod),Small_copepods
6118260100,NA,Candacia sp. (copepod),Small_copepods
6118260102,NA,Candacia columbiae (copepod),Small_copepods
6118270000,NA,Pontellidae (Calanoid Copepod) ,Small_copepods
6118270100,NA,Epilabidocera sp. (copepod),Small_copepods
6118270102,NA,Pontellidae (copepod) Epilabidocera longipedata,Small_copepods
6118290000,NA,Acartiidae (copepod) ,Small_copepods
6118290100,NA,Acartia sp.,Small_copepods
6118290103,NA,Acartia longiremis (copepod),Small_copepods
6118300100,NA,Tortanus sp (copepod),Small_copepods
6118300101,NA,Tortanus discaudatus (copepod),Small_copepods
6118999991,NA,Large calanoid (copepod) > 5mm,Cope_large
6118999992,NA,Medium calanoid (copepod) 2-5mm,Cope_medium
6118999993,NA,Small calanoid (copepod) < 2mm,Cope_small
6118999994,NA,Rooper's Copes < 2.5 mm (copepod),Small_copepods
6118999995,NA,Rooper's Copes => 2.5 mm (copepod),Small_copepods
6119000000,NA,Harpacticoida (copepod),Small_copepods
6119090100,NA,Ectinosomatidae (copepod) Microsetella sp.,Small_copepods
6119090101,NA,Ectinosomatidae (copepod) Microsetella norvegica,Small_copepods
6119090102,NA,Ectinosomatidae (copepod) Microsetella rosea,Small_copepods
6119999999,NA,Harpactacoida - Benthic (copepod) ,Small_copepods
6120000000,NA,copepod Cyclopoida,Small_copepods
6120010300,NA,Oncaea sp.,Small_copepods
6120010401,NA,Pseudolubbockia dilatata (copepod),Small_copepods
6120040100,NA,Corycaeus sp.,Small_copepods
6120090100,NA,Oithona sp.,Small_copepods
6122000000,NA,Monstrilloida (copepod),Small_copepods
6123000000,NA,Caligoida (copepod),Small_copepods
