pred_nodc,pred_name,pred_n,SPECIES_CODE,SPECIES_NAME,COMMON_NAME
8762140000,Myctophidae (lanternfish),9,NA,NA,NA
8831022201,Myoxocephalus jaok (plain sculpin),2648,21371,Myoxocephalus jaok,plain sculpin
8831022204,Myoxocephalus polyacanthocephalus (great sculpin),1579,21370,Myoxocephalus polyacanthocephalus,great sculpin
8831022205,Myoxocephalus quadricornis (fourhorn sculpin),18,21377,Myoxocephalus quadricornis,fourhorn sculpin
8831022302,Nautichthys pribilovius (eyeshade sculpin),31,21405,Nautichthys pribilovius,eyeshade sculpin
8831080901,Occella dodecaedron (Bering poacher),42,20061,Occella dodecaedron,Bering poacher
8755010201,Oncorhynchus gorbuscha (pink salmon),13,23230,Oncorhynchus gorbuscha,pink salmon
8755010202,Oncorhynchus keta (chum salmon),56,23235,Oncorhynchus keta,chum salmon
8755010203,Oncorhynchus kisutch (coho salmon),11,23225,Oncorhynchus kisutch,coho salmon
8755010205,Oncorhynchus nerka (sockeye salmon),2,23240,Oncorhynchus nerka,sockeye salmon
8755010206,Oncorhynchus tshawytscha (chinook salmon),36,23220,Oncorhynchus tshawytscha,chinook salmon
8788040202,Oneirodes bulbosus (bulbus dreamer),1,22914,Oneirodes bulbosus,hairy-lure dreamer
8827010201,Ophiodon elongatus (lingcod),191,21910,Ophiodon elongatus,lingcod
8755030302,Osmerus mordax (rainbow smelt),366,23055,Osmerus mordax,rainbow smelt
8857041301,Parophrys vetulus (English sole),318,10170,Parophrys vetulus,English sole
8857040401,Petrale Sole Eopsetta jordani,15,10160,Eopsetta jordani,petrale sole
8857041401,Platichthys stellatus (Starry flounder),566,10220,Platichthys stellatus,starry flounder
8827010501,Pleurogrammus monopterygius (Atka mackerel),14339,21921,Pleurogrammus monopterygius,Atka mackerel
8857041501,Pleuronectes quadrituberculatus (Alaska plaice),14241,10285,Pleuronectes quadrituberculatus,Alaska plaice
8831080802,Podothecus acipenserinus (sturgeon poacher),483,20040,Podothecus accipenserinus,sturgeon poacher
8762141002,Protomyctophum thompsoni (bigeye lanternfish),5,22649,Protomyctophum thompsoni,northern flashlightfish
8857041701,Psettichthys melanostictus (sand sole),13,10250,Psettichthys melanostictus,sand sole
8831070101,Psychrolutes paradoxus (tadpole sculpin),1,21394,Psychrolutes paradoxus,tadpole sculpin
8713040108,Raja Rhina (longnose skate),160,440,Raja rhina,longnose skate
8713040000,Rajidae (skate),1455,NA,NA,NA
8831070401,Rastrinus scutiger (roughskin sculpin),2,21444,Rastrinus scutiger,roughskin sculpin
8857041801,Reinhardtius hippoglossoides (Greenland turbot),2923,10115,Reinhardtius hippoglossoides,Greenland turbot
8840030201,Ronquilus jordani (northern ronquil),2,20702,Ronquilus jordani,northern ronquil
5704020101,Rossia pacifica (eastern Pacific bobtail),1,79020,Rossia pacifica,eastern Pacific bobtail
8755010401,Salvelinus malma Dolly Varden,11,23252,Salvelinus malma,Dolly Varden
8831081201,Sarritor frenatus (sawback poacher),220,20006,Leptagonus frenatus,sawback poacher
8826010101,Sebastes aleutianus (rougheye rockfish),1376,30051,Sebastes aleutianus,rougheye rockfish
8826010102,Sebastes alutus (Pacific ocean perch),15108,30060,Sebastes alutus,Pacific ocean perch
8826010105,Sebastes babcocki (redbanded rockfish),104,30475,Sebastes babcocki,redbanded rockfish
8826010107,Sebastes borealis (shortraker rockfish),730,30576,Sebastes borealis,shortraker rockfish
8826010106,Sebastes brevispinis (silvergray rockfish),135,30100,Sebastes brevispinis,silvergray rockfish
8826010109,Sebastes ciliatus (dark rockfish),220,30151,Sebastes ciliatus,dark rockfish
8826010110,Sebastes crameri (darkblotched rockfish),1,30170,Sebastes crameri,darkblotched rockfish
8826010115,Sebastes flavidus (yellowtail rockfish),21,30240,Sebastes flavidus,yellowtail rockfish
8826010118,Sebastes helvomaculatus (rosethorn rockfish),3,30270,Sebastes helvomaculatus,rosethorn rockfish
8826010197,Sebastes melanostictus (black spotted rockfish),409,30052,Sebastes melanostictus,blackspotted rockfish
8826010129,Sebastes polyspinis (northern rockfish),3017,30420,Sebastes polyspinis,northern rockfish
8826010130,Sebastes proriger (redstripe rockfish),34,30430,Sebastes proriger,redstripe rockfish
8826010134,Sebastes ruberrimus (yelloweye rockfish),24,30470,Sebastes ruberrimus,yelloweye rockfish
8826010198,Sebastes variabilis (dusky rockfish),358,30152,Sebastes variabilis,dusky rockfish
8826010136,Sebastes variegatus (harlequin rockfish),48,30535,Sebastes variegatus,harlequin rockfish
8826010138,Sebastes zacentrus (sharpchin rockfish),234,30560,Sebastes zacentrus,sharpchin rockfish
8826010201,Sebastolobus alascanus (shortspine thornyhead),1883,30020,Sebastolobus alascanus,shortspine thornyhead
8831022207,Shorthorn sculpin Myoxocephalus scorpius,1531,21368,Myoxocephalus scorpius,shorthorn (=warty) sculpin
8710010101,Somniosus pacificus (Pacific sleeper shark),5,320,Somniosus pacificus,Pacific sleeper shark
8710010201,Squalus acanthias (spiny dogfish),337,310,Squalus suckleyi,spiny dogfish
8762140501,Stenobrachius leucopsarus (northern lampfish),212,22602,Stenobrachius leucopsarus,northern lampfish
8762140502,Stenobranchius nannochir (garnet myctophid),1,22603,Stenobrachius nannochir,garnet lampfish
