SURVEY,STRATUM,AREA,SUBMODEL,SUBAREA,PERIMETER,INPFC_AREA,MIN_DEPTH,MAX_DEPTH,DESCRIPTION,SUMMARY_AREA,SUMMARY_DEPTH,SUMMARY_AREA_DEPTH,REGULATORY_AREA_NAME,STRATUM_TYPE
GOA,210,2787.949,WGOA,WESTERN GOA,1878.436,Shumagin       ,201,300,Shumagin Slope                ,919,993,913,WESTERN GOA,SLOPE
GOA,310,2531.101,WGOA,WESTERN GOA,1778.137,Shumagin       ,301,500,Shumagin Slope                ,919,994,914,WESTERN GOA,SLOPE
GOA,410,2005.603,WGOA,WESTERN GOA,1847.096,Shumagin       ,501,700,Shumagin Slope                ,919,995,915,WESTERN GOA,SLOPE
GOA,510,1937.22,WGOA,WESTERN GOA,1932.281,Shumagin       ,701,1000,Shumagin Slope                ,919,996,916,WESTERN GOA,SLOPE
GOA,50,6546.325,EGOA,EASTERN GOA,3271.581,Southeastern   ,1,100,Southeastern Shallows         ,959,991,951,EASTERN GOA,SHELF
GOA,150,4196.382,EGOA,EASTERN GOA,808.483,Southeastern   ,101,200,Baranof-Chichagof Shelf       ,959,992,952,EASTERN GOA,SHELF
GOA,151,6887.844,EGOA,EASTERN GOA,1094.22,Southeastern   ,101,200,Prince of Wales Shelf         ,959,992,952,EASTERN GOA,SHELF
GOA,250,1125.262,EGOA,EASTERN GOA,666.829,Southeastern   ,201,300,Baranof-Chichagof Slope       ,959,993,953,EASTERN GOA,SLOPE
GOA,251,3927.061,EGOA,EASTERN GOA,1157.364,Southeastern   ,201,300,Prince of Wales Slope/Gullies ,959,993,953,EASTERN GOA,SLOPE
GOA,350,2344.327,EGOA,EASTERN GOA,460.034,Southeastern   ,301,500,Southeastern Deep Gullies     ,959,994,954,EASTERN GOA,GULLY
GOA,351,772.66,EGOA,EASTERN GOA,1003.884,Southeastern   ,301,500,Southeastern Slope            ,959,994,954,EASTERN GOA,SLOPE
GOA,450,1033.46,EGOA,EASTERN GOA,1052.722,Southeastern   ,501,700,Southeastern Slope            ,959,995,955,EASTERN GOA,SLOPE
GOA,550,1206.344,EGOA,EASTERN GOA,1086.404,Southeastern   ,701,1000,Southeastern Slope            ,959,996,956,EASTERN GOA,SLOPE
GOA,40,9947.134,EGOA,EASTERN GOA,1722.954,Yakutat        ,1,100,Yakutat Shallows              ,949,991,941,EASTERN GOA,SHELF
GOA,41,6714.31,EGOA,EASTERN GOA,904.018,Yakutat        ,1,100,Middleton Shallows            ,949,991,941,EASTERN GOA,SHELF
GOA,140,7345.605,EGOA,EASTERN GOA,992.786,Yakutat        ,101,200,Middleton Shelf               ,949,992,942,EASTERN GOA,SHELF
GOA,141,5276.558,EGOA,EASTERN GOA,756.103,Yakutat        ,101,200,Yakataga Shelf                ,949,992,942,EASTERN GOA,SHELF
GOA,142,9031.904,EGOA,EASTERN GOA,426.338,Yakutat        ,101,200,Yakutat Flats                 ,949,992,942,EASTERN GOA,SHELF
GOA,143,7727.531,EGOA,EASTERN GOA,729.892,Yakutat        ,101,200,Fairweather Shelf             ,949,992,942,EASTERN GOA,SHELF
GOA,240,3042.703,EGOA,EASTERN GOA,857.375,Yakutat        ,201,300,Yakutat Gullies               ,949,993,943,EASTERN GOA,GULLY
GOA,241,2127.348,EGOA,EASTERN GOA,1421.962,Yakutat        ,201,300,Yakutat Slope                 ,949,993,943,EASTERN GOA,SLOPE
GOA,340,1107.196,EGOA,EASTERN GOA,276.361,Yakutat        ,301,500,Yakutat Gullies               ,949,994,944,EASTERN GOA,GULLY
GOA,341,1520.577,EGOA,EASTERN GOA,1427.265,Yakutat        ,301,500,Yakutat Slope                 ,949,994,944,EASTERN GOA,SLOPE
GOA,440,1469.256,EGOA,EASTERN GOA,1434.651,Yakutat        ,501,700,Yakutat Slope                 ,949,995,945,EASTERN GOA,SLOPE
GOA,540,1887.412,EGOA,EASTERN GOA,1410.367,Yakutat        ,701,1000,Yakutat Slope                 ,949,996,946,EASTERN GOA,SLOPE
WINTER,518,12112,WINTER,WINTER,NA,BERING SEA,NA,NA,Bering Sea Low Density,510,2,NA,NA,NA
WINTER,519,7765,WINTER,WINTER,NA,BERING SEA,NA,NA,Bering Sea High Density,510,1,NA,NA,NA
WINTER,638,13639,WINTER,WINTER,NA,KODIAK,NA,NA,Kodiak Low Density,630,1,NA,NA,NA
WINTER,619,2631,WINTER,WINTER,NA,SHUMAGIN,NA,NA,Shumagin Islands High Density,610,1,NA,NA,NA
WINTER,618,10282,WINTER,WINTER,NA,SHUMAGIN,NA,NA,Shumagin Islands Low Density,610,2,NA,NA,NA
