"year","model","race_guild","bio_tons","bio_tkm2"
1983,"EBS","oth_managed_forage",140.507151630035,0.000285063921326433
1983,"EBS","oth_pelagic_smelt",215.490372741036,0.00043719148775715
1983,"EBS","oth_sculpins",15482.3789452683,0.0314109823051637
1983,"EBS","oth_skate",74379.0013313395,0.150901712388875
1983,"EBS","pac_ocean_perch",28.3028761036497,5.74214817774297e-05
1983,"EBS","pandalid",2207.18227391494,0.00447797871343292
1983,"EBS","pcod",1187096.79776876,2.40840743150954
1983,"EBS","pollock",5921382.69028969,12.0134281407468
1983,"EBS","polychaetes",271.613632812725,0.000551055560923936
1983,"EBS","rex_sole",7292.79145405472,0.0147957716400277
1983,"EBS","rougheye_rock",434.937196495855,0.000882409908146844
1983,"EBS","sablefish",17385.2923590623,0.0352716538324686
1983,"EBS","salmon_returning",262.331712736465,0.000532224202493554
