"year","model","species_name","lbin","prey_type","p_tot_bioen","p_tot_vonb","tot_bioen","tot_vonb","bioen_prop","vonb_prop"
2005,"EBS","Walleye_pollock","[25,40)","Walleye pollock",0,0,1122.80696021903,317774.461826413,0,0
2005,"EBS","Walleye_pollock","[40,999)","Amphipods",547.513174087613,184785.042447466,16619.6577352314,5221011.48936764,0.0329437093597277,0.0353925753321502
2005,"EBS","Walleye_pollock","[40,999)","Benthos",1103.24434015713,374539.233893218,16619.6577352314,5221011.48936764,0.0663818929205985,0.0717369104925264
2005,"EBS","Walleye_pollock","[40,999)","Copepods",5762.37172482696,1746752.11303411,16619.6577352314,5221011.48936764,0.346720240370024,0.334562012857336
2005,"EBS","Walleye_pollock","[40,999)","Euphausiids",5616.95587904067,1740897.64803949,16619.6577352314,5221011.48936764,0.337970610979159,0.333440685121026
2005,"EBS","Walleye_pollock","[40,999)","Other fish",361.061089833413,116793.922093793,16619.6577352314,5221011.48936764,0.0217249413667534,0.0223699799036335
2005,"EBS","Walleye_pollock","[40,999)","Other plankton",2117.44864891778,714724.09573396,16619.6577352314,5221011.48936764,0.127406272899897,0.136893798680479
2005,"EBS","Walleye_pollock","[40,999)","Walleye pollock",1111.06287836785,342519.434125598,16619.6577352314,5221011.48936764,0.0668523321038405,0.0656040376128502
2006,"EBS","Walleye_pollock","[0,12)","Amphipods",1.27183239363269,307.158829225961,9.71753993406236,2396.07329896189,0.130880078935884,0.128192584658841
2006,"EBS","Walleye_pollock","[0,12)","Benthos",1.2511953708879,303.959044259444,9.71753993406236,2396.07329896189,0.128756390956743,0.126857155993991
2006,"EBS","Walleye_pollock","[0,12)","Copepods",0.226326040510199,56.367649177222,9.71753993406236,2396.07329896189,0.0232904667277847,0.0235250103582573
2006,"EBS","Walleye_pollock","[0,12)","Euphausiids",6.22178192039655,1547.35741722772,9.71753993406236,2396.07329896189,0.640263066847575,0.645788848737692
2006,"EBS","Walleye_pollock","[0,12)","Other fish",0,0,9.71753993406236,2396.07329896189,0,0
2006,"EBS","Walleye_pollock","[0,12)","Other plankton",0.746404208635032,181.230359071539,9.71753993406236,2396.07329896189,0.0768099965320134,0.0756364002512186
2006,"EBS","Walleye_pollock","[0,12)","Walleye pollock",0,0,9.71753993406236,2396.07329896189,0,0
2006,"EBS","Walleye_pollock","[12,25)","Amphipods",2.25446070784824,553.446964628516,88.8272480868495,20495.00756629,0.0253802831496477,0.0270039892807271
2006,"EBS","Walleye_pollock","[12,25)","Benthos",1.86517155544056,430.882338426172,88.8272480868495,20495.00756629,0.0209977410717139,0.0210237706442658
2006,"EBS","Walleye_pollock","[12,25)","Copepods",77.9807321044998,17836.3879155753,88.8272480868495,20495.00756629,0.877892018316895,0.870279645317742
2006,"EBS","Walleye_pollock","[12,25)","Euphausiids",6.09679672762807,1519.58048495619,88.8272480868495,20495.00756629,0.068636559827532,0.0741439338356518
