"year","model","species_name","jcat","lbin","prey_guild","cons_tot_prey_vonb","cons_tot_prey_SCI","cons_tot_vonb","cons_tot_SCI","diet_prop_vonb","diet_prop_SCI"
2007,"EBS","Pacific_cod","juv","[0,20)","Shrimp",3176.3825198664,133.439632690889,4860.87386177526,201.588535297263,0.653459153681132,0.661940583546177
2007,"EBS","Pacific_cod","juv","[0,20)","Slope_forage_fish",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Snow_crab",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Squid",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Tanner_crab",0,0,4860.87386177526,201.588535297263,0,0
2007,"EBS","Pacific_cod","juv","[0,20)","Walleye_pollock",0,0,4860.87386177526,201.588535297263,0,0
2008,"EBS","Pacific_cod","adu","[20,30)","Amphipods",495.600152166042,26.3279450677922,6585.35450484882,355.423195936072,0.0752579305793074,0.0740749207390719
2008,"EBS","Pacific_cod","adu","[20,30)","Copepods",0.00308759095266397,0.000153351150147221,6585.35450484882,355.423195936072,4.6885721192239e-07,4.31460725975811e-07
2008,"EBS","Pacific_cod","adu","[20,30)","Detritus",0.182189145824857,0.0100169877736565,6585.35450484882,355.423195936072,2.76658068583415e-05,2.81832696576679e-05
2008,"EBS","Pacific_cod","adu","[20,30)","Eelpout",0,0,6585.35450484882,355.423195936072,0,0
2008,"EBS","Pacific_cod","adu","[20,30)","Euphausiids",521.618407932394,29.3962042381916,6585.35450484882,355.423195936072,0.0792088577081651,0.0827076132742864
2008,"EBS","Pacific_cod","adu","[20,30)","Flatfish",3.88315971778854,0.174897229037632,6585.35450484882,355.423195936072,0.000589666010376412,0.000492081639683105
2008,"EBS","Pacific_cod","adu","[20,30)","Gelatinous",0,0,6585.35450484882,355.423195936072,0,0
2008,"EBS","Pacific_cod","adu","[20,30)","Infauna",66.6276279564652,3.59200579777356,6585.35450484882,355.423195936072,0.0101175461256348,0.0101062784839165
2008,"EBS","Pacific_cod","adu","[20,30)","King_crab",0,0,6585.35450484882,355.423195936072,0,0
2008,"EBS","Pacific_cod","adu","[20,30)","MISC_NA",364.365270442332,19.4399231011906,6585.35450484882,355.423195936072,0.0553296364188213,0.0546951446148358
2008,"EBS","Pacific_cod","adu","[20,30)","MISSING",303.322639209537,18.8187438461747,6585.35450484882,355.423195936072,0.0460601838498138,0.0529474273523766
2008,"EBS","Pacific_cod","adu","[20,30)","Motile_epifauna",484.502315711806,24.8047207869156,6585.35450484882,355.423195936072,0.0735727006579624,0.0697892570618186
2008,"EBS","Pacific_cod","adu","[20,30)","Octopus",0.0391377140833841,0.00194384993376201,6585.35450484882,355.423195936072,5.94314460285576e-06,5.46911387885792e-06
2008,"EBS","Pacific_cod","adu","[20,30)","Offal",0,0,6585.35450484882,355.423195936072,0,0
2008,"EBS","Pacific_cod","adu","[20,30)","Pacific_cod",0,0,6585.35450484882,355.423195936072,0,0
2008,"EBS","Pacific_cod","adu","[20,30)","Phyto_microzooplankton",0.0150122154038217,0.00067614908133105,6585.35450484882,355.423195936072,2.27963663805314e-06,1.90237747300169e-06
2008,"EBS","Pacific_cod","adu","[20,30)","Polychaete",328.256143404177,17.0216581554457,6585.35450484882,355.423195936072,0.0498463891598366,0.0478912416242729
2008,"EBS","Pacific_cod","adu","[20,30)","Rockfish",0,0,6585.35450484882,355.423195936072,0,0
