SURVEY,MODEL,STRAT_GROUPS,STRATUM,AREA,PERIMETER,INPFC_AREA,MIN_DEPTH,MAX_DEPTH,DESCRIPTION,SUMMARY_AREA,SUMMARY_DEPTH,SUMMARY_AREA_DEPTH,REGULATORY_AREA_NAME,STRATUM_TYPE
BS,EBS,SE_inner,10,77871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,NW_inner,20,41027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,SE_middle,31,94526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,Pribs,32,8774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,NW_middle,41,62703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,Pribs,42,24011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,StMatt,43,21108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,SE_outer,50,38792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,NW_outer,61,88134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,StMatt,62,6429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,NBS,NBS70,70,79261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,NBS,NBS71,71,82594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,NBS,NBS81,81,38352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,NW_corner,82,17954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,EBS,NW_corner,90,11568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOA,WGOA,WC_GOA,20,7940.852,2470.078,Chirikof,1,100,Upper Alaska Peninsula        ,929,991,921,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,21,7302.086,632.708,Chirikof,1,100,Semidi Bank                   ,929,991,921,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,22,10792.012,961.835,Chirikof,1,100,Chirikof Bank                 ,929,991,921,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,120,11104.039,962.173,Chirikof,101,200,East Shumagin Gully           ,929,992,922,CENTRAL GOA,GULLY
GOA,WGOA,WC_GOA,121,7734.619,1843.775,Chirikof,101,200,Shelikof Edge                 ,929,992,922,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,122,5010.738,898.952,Chirikof,101,200,Chirikof Outer Shelf          ,929,992,922,CENTRAL GOA,SHELF
GOA,WGOA,WC_GOA,220,10017.785,678.285,Chirikof,201,300,Lower Shelikof Gully          ,929,993,923,CENTRAL GOA,GULLY
GOA,WGOA,WC_GOA,221,1528.313,832.464,Chirikof,201,300,Chirikof Slope                ,929,993,923,CENTRAL GOA,SLOPE
GOA,WGOA,WC_GOA,320,1603.961,805.575,Chirikof,301,500,Chirikof Slope                ,929,994,924,CENTRAL GOA,SLOPE
