"Model","Predator","Year","Stratgroup","Lbin","Pred_n","Prey_guild","SCI_mean","X0.","X2.5.","X25.","X50.","X75.","X97.5.","X100."
"AI","Pacific_cod",2014,"Central_Aleutians","[20,30)",12,"MISC_NA",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Central_Aleutians","[20,30)",12,"Other_fish",0.000167223148842462,0,0,0,0.000167223148842462,0.000334446297684924,0.000501669446527386,0.00100333889305477
"AI","Pacific_cod",2014,"Central_Aleutians","[20,30)",12,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Central_Aleutians","[30,60)",55,"Invertebrates",0.00724642191492489,0.0048324666020785,0.00581593877714692,0.00671189353348521,0.00722183727852058,0.00775695411921684,0.00882905473081233,0.0107766148050338
"AI","Pacific_cod",2014,"Central_Aleutians","[30,60)",55,"MISC_NA",0.00186505849543604,0,0,0,0.00186505849543604,0.00373011699087209,0.00559517548630813,0.0111903509726163
"AI","Pacific_cod",2014,"Central_Aleutians","[30,60)",55,"Other_fish",0.00243917026223077,0.00034194595583384,0.000913706664225517,0.00178881375466253,0.00235463682555232,0.00300130529484093,0.00443986120836224,0.00697786603583917
"AI","Pacific_cod",2014,"Central_Aleutians","[30,60)",55,"Atka_mackerel",0.000706986311737961,0,0,0,0.000706986311737961,0.00141397262347592,0.00212095893521388,0.00565589049390369
"AI","Pacific_cod",2014,"Central_Aleutians","[60,85)",56,"Invertebrates",0.0111329849205367,0.00225861178388936,0.00541163640421947,0.0087412244796566,0.0108968445363306,0.0131675511049093,0.0180588672007167,0.0311119971605398
"AI","Pacific_cod",2014,"Central_Aleutians","[60,85)",56,"MISC_NA",4.54411379679639e-07,0,0,0,4.54411379679639e-07,9.08822759359277e-07,1.36323413903892e-06,2.72646827807783e-06
"AI","Pacific_cod",2014,"Central_Aleutians","[60,85)",56,"Other_fish",0.00377271627531362,0.000674826754128496,0.00177273437040954,0.00294521337501621,0.00368994865417368,0.00450951856738448,0.00621758744759258,0.00922086784264051
"AI","Pacific_cod",2014,"Central_Aleutians","[60,85)",56,"Atka_mackerel",0.00785658143501741,0.000509862337540155,0.00300463246765421,0.00584820383894862,0.0077064333975859,0.00975552965983164,0.0140111297529796,0.0208144822771506
"AI","Pacific_cod",2014,"Central_Aleutians","[85,999)",12,"Invertebrates",0.00345264706931793,0,1.16596488789022e-05,0.000360379488049828,0.00341775438293897,0.00648095910226757,0.010073073404792,0.0194253878334844
"AI","Pacific_cod",2014,"Central_Aleutians","[85,999)",12,"MISC_NA",0.000285661397533104,0,0,0,0.000285661397533104,0.000571322795066208,0.000856984192599312,0.00199962978273173
"AI","Pacific_cod",2014,"Central_Aleutians","[85,999)",12,"Other_fish",0.000647448909607302,0,2.24224016901966e-05,0.000277368165511478,0.000613401363141304,0.000961059705546931,0.00170152000666817,0.00288235122877939
"AI","Pacific_cod",2014,"Central_Aleutians","[85,999)",12,"Atka_mackerel",0.0210902702020387,0,0.00277983475165472,0.0130512961381736,0.0203525836677972,0.0283482971320933,0.0451270443742521,0.0732523571480832
"AI","Pacific_cod",2014,"Eastern_Aleutians","[0,20)",22,"Invertebrates",0.0200513084156769,0.0129959048190891,0.0153140998504811,0.0180129199651182,0.0198566884950242,0.0218538130570606,0.0263648833474753,0.0342522966416006
"AI","Pacific_cod",2014,"Eastern_Aleutians","[0,20)",22,"MISC_NA",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Eastern_Aleutians","[0,20)",22,"Other_fish",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Eastern_Aleutians","[0,20)",22,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Eastern_Aleutians","[30,60)",83,"Invertebrates",0.00696360735422087,0.00487440281267903,0.00566552822398863,0.00648349553988951,0.00693387783004667,0.0074069701540545,0.00833107369133427,0.0100859576675843
"AI","Pacific_cod",2014,"Eastern_Aleutians","[30,60)",83,"MISC_NA",0.00141013183610071,0,0,0,0.00141013183610071,0.00282026367220141,0.00423039550830212,0.00987092285270494
"AI","Pacific_cod",2014,"Eastern_Aleutians","[30,60)",83,"Other_fish",0.005963489470755,0.00245568727050955,0.00368932943264525,0.00509037720173138,0.00591745550223531,0.00678537611513239,0.00864649782924847,0.011287715327186
"AI","Pacific_cod",2014,"Eastern_Aleutians","[30,60)",83,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Eastern_Aleutians","[60,85)",71,"Invertebrates",0.00723552056529583,0.0029111476248764,0.00452225903453191,0.00596236527114336,0.00703928782662664,0.00826559670677354,0.0111458511974094,0.0169991817755197
"AI","Pacific_cod",2014,"Eastern_Aleutians","[60,85)",71,"MISC_NA",0.000211241792790354,0,0,3.52782899446212e-05,0.000211241792790354,0.000351927005691465,0.00059844708842644,0.00123174451992013
"AI","Pacific_cod",2014,"Eastern_Aleutians","[60,85)",71,"Other_fish",0.00931940646699395,0.00162474562612117,0.00397135122088183,0.00660342880736874,0.00888912346017515,0.0115854434683696,0.0176469940488582,0.0305404129611096
"AI","Pacific_cod",2014,"Eastern_Aleutians","[60,85)",71,"Atka_mackerel",0.0040218579379786,0,0.000119432815411633,0.0021037745234644,0.00372867711633409,0.00559521541795738,0.00975894264382695,0.0162115619213309
"AI","Pacific_cod",2014,"Southern_Bering","[30,60)",54,"Invertebrates",0.00644007982562827,0.00312198303850487,0.00454733525846775,0.00570581296600644,0.00635832563099776,0.00709064550428571,0.00853004176955533,0.0109165955306235
"AI","Pacific_cod",2014,"Southern_Bering","[30,60)",54,"MISC_NA",4.03495409831301e-05,0,0,0,4.03495409831301e-05,8.06990819662601e-05,0.00012104862294939,0.000282446786881911
"AI","Pacific_cod",2014,"Southern_Bering","[30,60)",54,"Other_fish",0.0103998515010265,0.000520452582379883,0.00371198499697871,0.00763472487003153,0.0101608271970652,0.0129080372434301,0.0185737730101566,0.0271652465599286
"AI","Pacific_cod",2014,"Southern_Bering","[30,60)",54,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",2014,"Southern_Bering","[60,85)",37,"Invertebrates",0.00713613349529422,0.00145587809780834,0.00331840372625804,0.00545307892734229,0.0069387390639666,0.00857570477271241,0.0121106876820499,0.0180048788606801
"AI","Pacific_cod",2014,"Southern_Bering","[60,85)",37,"MISC_NA",0.000196081594560364,0,0,0,0.000196081594560364,0.000392163189120728,0.000588244783681092,0.00117648956736218
