"year","model","stratum_bin","species_name","lbin","prey_guild","strat_bioen_preycons_t_km2","strat_assim_preycons_t_km2","area","cons_bioen_tons_day","cons_assim_tons_year"
1982,"EBS",NA,"P.cod","[40,60)","MISSING",0.00818819333563492,1.2254970206282,29522,241.731843654614,36179.1230429856
1982,"EBS",NA,"P.cod","[60,150)","MISSING",0.0149077522416548,2.01493215814873,29522,440.106661678133,59484.8271728669
1983,"EBS","InnerNW","P.cod","[0,40)","MISSING",0.00279933250851851,0.473897084360226,41027,114.848214826989,19442.575680047
1983,"EBS","InnerNW","P.cod","[40,60)","MISSING",0.0248780517441484,2.86238093567818,41027,1020.67182890718,117434.902648069
1983,"EBS","InnerNW","P.cod","[60,150)","MISSING",0.0230609055937487,2.38999339143336,41027,946.119773794728,98054.2588703365
1983,"EBS","InnerSE","P.cod","[0,40)","MISSING",0.00238770233409151,0.348913693232555,77871,185.93276845804,27170.2582057123
1983,"EBS","InnerSE","P.cod","[40,60)","MISSING",0.0186283946260481,2.10068689271936,77871,1450.61171792499,163582.589022949
1983,"EBS","InnerSE","P.cod","[60,150)","MISSING",0.0328920082739075,3.28521616279688,77871,2561.33357629745,255823.067813156
1983,"EBS","MiddleNW","P.cod","[0,40)","MISSING",0.00117755017817945,0.223268448285822,107822,126.965815311665,24073.2506310739
1983,"EBS","MiddleNW","P.cod","[40,60)","MISSING",0.00751845181194059,1.17848958434609,107822,810.654511267058,127067.103963365
1983,"EBS","MiddleNW","P.cod","[60,150)","MISSING",0.00729195877739389,1.00884111718987,107822,786.233579296164,108775.266937646
1983,"EBS","MiddleSE","P.cod","[0,40)","MISSING",0.000296990786254388,0.0487346430154011,103300,30.6791482200783,5034.28862349094
1983,"EBS","MiddleSE","P.cod","[40,60)","MISSING",0.00315935269115892,0.437595898240529,103300,326.361132996717,45203.6562882466
1983,"EBS","MiddleSE","P.cod","[60,150)","MISSING",0.00895443623429113,1.03903870337282,103300,924.993263002274,107332.698058412
1983,"EBS","OuterNW","P.cod","[0,40)","MISSING",6.91582373276002e-05,0.0124453025592883,94563,6.53981039640986,1176.86514591398
1983,"EBS","OuterNW","P.cod","[40,60)","MISSING",0.0040461606580862,0.557636003948211,94563,382.617090310606,52731.7334413547
1983,"EBS","OuterNW","P.cod","[60,150)","MISSING",0.0149967230811918,1.81775514984366,94563,1418.13512472674,171892.380234666
1983,"EBS","OuterSE","P.cod","[0,40)","MISSING",4.25139686712115e-05,0.00593094124579909,38792,1.64920187269364,230.073072807038
1983,"EBS","OuterSE","P.cod","[40,60)","MISSING",0.00499409126762768,0.598918169600645,38792,193.730788453813,23233.2336351482
1983,"EBS","OuterSE","P.cod","[60,150)","MISSING",0.0102204926401847,1.06873740788683,38792,396.473350498043,41458.4615267459
1984,"EBS","InnerNW","P.cod","[0,40)","Octopus",0,0,41027,0,0
1984,"EBS","InnerNW","P.cod","[0,40)","Other",0.00146073632227182,0.253810818810483,41027,59.9296290938461,10413.0964633377
1984,"EBS","InnerNW","P.cod","[40,60)","Octopus",0,0,41027,0,0
1984,"EBS","InnerNW","P.cod","[40,60)","Other",0.00332944361727245,0.449536465503032,41027,136.597083285837,18443.1325701929
1984,"EBS","InnerNW","P.cod","[60,150)","Octopus",0,0,41027,0,0
1984,"EBS","InnerNW","P.cod","[60,150)","Other",0.0142481742174999,1.72358325369,41027,584.55984362137,70713.4501491398
1984,"EBS","InnerSE","P.cod","[0,40)","Octopus",0,0,77871,0,0
1984,"EBS","InnerSE","P.cod","[0,40)","Other",0.00474579086910742,0.71303641122716,77871,369.559480768264,55524.8583786702
1984,"EBS","InnerSE","P.cod","[40,60)","Octopus",0,0,77871,0,0
1984,"EBS","InnerSE","P.cod","[40,60)","Other",0.00832343482210113,0.996746931258446,77871,648.154193031837,77617.6802840264
1984,"EBS","InnerSE","P.cod","[60,150)","Octopus",0,0,77871,0,0
