year,X0.,X5.,X10.,X15.,X20.,X25.,X30.,X35.,X40.,X45.,X50.,X55.,X60.,X65.,X70.,X75.,X80.,X85.,X90.,X95.,X100.
1995,632.5522202,1878.58136,2127.166684,2310.358703,2464.597204,2604.358335,2734.878786,2860.819856,2985.250674,3110.548149,3238.207495,3369.957363,3508.349769,3657.168556,3818.429987,3999.751457,4210.244738,4468.611747,4813.48601,5358.17373,13996.39411
1996,332.8592939,2024.527282,2374.152332,2637.489459,2862.927431,3067.242533,3261.318499,3450.955834,3638.405112,3827.978113,4024.575924,4227.108175,4443.876036,4676.830885,4934.858972,5228.476249,5576.061562,6011.845938,6605.994898,7612.614589,32308.33201
1997,550.2649634,2513.421561,2878.482578,3147.46068,3375.093389,3579.854607,3773.395473,3957.838254,4138.524481,4321.0277,4505.907944,4696.041712,4895.098081,5108.311545,5339.653083,5600.466478,5903.203112,6267.206245,6755.380511,7525.967671,16189.96787
1998,262.3114078,1736.697266,2151.444189,2476.395275,2761.646394,3028.07938,3283.534867,3536.535668,3793.309971,4056.641725,4324.866908,4611.175411,4916.97547,5247.051974,5613.317259,6028.031723,6518.796957,7118.873351,7930.974411,9254.190854,27893.49395
1999,473.2998885,2107.405816,2488.99204,2785.338293,3042.581318,3282.695904,3511.318068,3735.472488,3962.543522,4192.963443,4431.746869,4682.938849,4952.92747,5249.498348,5577.85907,5948.399987,6387.397804,6937.453546,7688.234593,8927.822905,29798.11446
2000,632.5056513,2872.349446,3430.954842,3859.697216,4236.403217,4585.101502,4920.9405,5250.677213,5585.810815,5923.103363,6272.258545,6638.885159,7030.640189,7459.410051,7930.764364,8462.339874,9092.228448,9868.255242,10914.31278,12606.50022,35946.63324
2001,926.3974226,4805.670336,5939.010227,6828.825233,7622.932068,8359.502416,9068.096333,9771.748236,10473.08306,11184.08229,11915.21491,12685.58582,13505.66248,14388.17663,15369.82765,16474.09263,17771.36926,19367.70235,21532.07781,25000.82732,74134.65565
2002,492.2885562,1698.756694,1939.896766,2118.254331,2270.010701,2406.873763,2536.530144,2662.13776,2785.802672,2909.544983,3036.82357,3168.131121,3305.975014,3454.785015,3619.309165,3804.691153,4021.912424,4289.122334,4650.386204,5241.819991,16099.16483
2003,773.4538765,2333.007164,2624.973106,2836.167391,3014.153695,3172.16513,3318.925135,3459.72802,3597.063109,3734.460505,3873.016202,4015.178108,4164.114843,4322.466564,4493.614934,4683.374087,4901.17579,5164.164105,5510.273881,6051.748344,12502.31473
2005,1724.084958,8909.091198,10580.98705,11860.49967,12961.11237,13981.158,14948.29306,15887.53915,16826.38995,17777.29477,18744.36867,19763.04845,20835.09097,22003.82785,23278.82381,24720.09052,26397.44047,28447.02525,31190.35244,35568.43985,81530.95559
2006,327.2397567,5425.348854,6664.639107,7602.796899,8404.686739,9139.371951,9834.893924,10505.67878,11169.01082,11834.96277,12516.11455,13219.7797,13965.23163,14757.433,15619.18552,16582.539,17703.92913,19065.67822,20862.51873,23678.32624,55431.1554
2007,119.0034251,7177.082175,9520.239864,11365.55182,12994.65691,14504.48864,15961.39592,17382.01235,18805.69532,20246.65959,21718.39286,23247.81178,24867.7253,26606.90615,28521.77012,30682.30164,33179.39652,36239.77724,40324.54555,46854.01372,129305.5145
2008,92.42714409,778.8793122,964.0569735,1113.500392,1249.226706,1379.104453,1508.24658,1638.316565,1772.365624,1912.609446,2060.781765,2221.318033,2397.566315,2591.357518,2814.016873,3073.567403,3384.258886,3779.625029,4329.211451,5243.256935,18272.39606
2009,57.46168116,564.8604176,724.0221438,850.4085846,964.8409694,1073.342553,1179.247072,1284.872754,1391.958171,1503.662117,1621.051439,1745.993394,1882.260616,2032.884651,2203.846113,2399.712055,2636.087395,2935.281276,3352.250972,4056.367755,14360.2608
2010,629.0507144,3869.158941,4721.283606,5381.600274,5964.58426,6511.733953,7034.741005,7550.407959,8070.117425,8598.413158,9149.005412,9719.61003,10330.30215,10993.79273,11724.60487,12555.01902,13545.49365,14760.83328,16406.37879,19074.4863,70571.20914
