PRED,STRAT,YY,CI_strat_resid_mean,CI_weighted_resid_mean,SCI_per_N,Bottom_temp,Surface_temp,Biomass_Atka.mackerel,Biomass_P.cod,Biomass_POP,Cons_Amphipods,Cons_Atka,Cons_Copepods,Cons_Euphausiids,Cons_Gen. Fish,Cons_Mot. Epi.,Cons_Myctophids,Cons_Mysids,Cons_Octopus,Cons_Other,Cons_Other fish,Cons_P.Cod,Cons_Pandalidae,Cons_Polychaete,Cons_Rockfish,Cons_Shrimp,Cons_Squids,Cons_W.Pollock,Cons_Zooplankton
Atka.mackerel,East,2006,-0.039743818,-0.018767032,0.004531166,4.127472527,5.721978022,350206.4,43348.4,0,52338.54289,2877.856184,954070.2185,691303.1479,26529.13486,40138.84076,11382.68364,0,8554.548203,114688.5264,82844.61307,0,13234.6344,61933.90901,0,45992.12214,60029.3022,0,9366.164615
Atka.mackerel,East,2010,0.021419018,0.008575164,0.008121702,4.200833333,5.3725,372428.8,23277.3,266607.3,67599.42315,5094.447925,1857972.331,99549.39669,159347.3215,5941.755891,1239.009096,2329.6726,74.46507759,264666.7409,32040.47428,0,7680.450253,10338.44459,4074.067495,48667.71331,88667.38325,0,34393.17925
Atka.mackerel,East,2012,-0.014103702,-0.001688579,0.007689268,4.022047244,5.102380952,33149.3,30592.3,366413.4,26087.15058,430.4837738,261263.5688,135838.7305,118680.6602,6578.344069,30953.30276,4019.966535,1612.313887,273241.8129,26926.02302,0,21075.67018,1101.635874,17.21935095,35253.92865,21866.95866,806.3670243,21217.79511
Atka.mackerel,East,2014,-0.019480551,-0.008136971,0.007861196,4.545833333,6.265,302382.5,47031.9,233559.6,38769.269,20522.57484,1509104.196,258147.4743,9199.7077,12398.15424,134558.5225,54410.45326,2791.953256,89020.04377,89361.46337,0,18629.09451,3593.570571,6844.532354,52572.83381,25809.10228,3992.078764,13168.81581
Atka.mackerel,East,2016,-0.068057186,-0.024073173,0.008653156,4.711904762,6.963709677,158525,45138,284908.5,51702.17893,39066.7783,871287.409,118489.7768,63077.92914,8263.982628,17703.84515,4342.712091,9273.591621,127863.7363,49792.495,0,28254.43527,13417.51972,1319.537472,69266.33719,69424.66076,3087.525155,68790.62145
Atka.mackerel,East,2018,-0.063404612,-0.030021082,0.003899783,4.565079365,5.814285714,168187.6,49251,278325.9,53633.98742,21106.17227,848092.9442,233664.1964,86031.66947,20283.08254,145055.3663,4408.944269,2739.857871,135127.5987,16563.89601,0,32919.21218,0,0,34223.72424,19997.15208,3350.469418,18684.93559
Atka.mackerel,West,1994,0.069757661,0.036854195,0.002713587,4.186764706,7.643478261,327242.1,23796.7,184702.7,26671.78936,38837.2806,1761736.488,116425.3983,20313.67602,13582.78266,3938.686068,102.0533302,1330.874922,38754.35558,25105.01124,162.4865932,24833.50771,710.3807147,0,26093.41312,187821.5577,0,2863.613751
Atka.mackerel,West,1997,0.017608969,0.006459074,0.006219843,4.783695652,8.472826087,134367.2,14357.4,178436.5,42875.30615,885.1900254,102723.8024,386771.3566,76808.66309,3489.728592,171819.934,2317.269061,1478.575233,246476.6758,15677.73387,0,14643.01126,55.07944465,5965.407772,17553.46627,56242.69577,0,0
Atka.mackerel,West,2000,-0.013992159,-0.004921393,0.01109283,3.688990826,6.397297297,179679.8,43297.8,222632.2,15468.2249,28786.19226,1043161.389,290331.6748,15721.66661,7859.702481,851.330304,299.3237088,14263.91886,37874.86916,76217.58306,0,25869.73595,16.18556272,17782.06904,28206.16184,5674.460646,228.0940696,4660.440621
Atka.mackerel,West,2002,-0.10301497,-0.031251026,0.004788649,3.876635514,5.534579439,253671.4,23623.4,0,31228.2097,34116.67017,1032006.25,241422.9933,9123.000876,9129.286396,0,1344.942081,221.85246,56440.83409,42735.87691,0,3271.568056,2042.53533,325.0129035,22217.28978,50130.97612,0,4447.801137
Atka.mackerel,West,2004,-0.003136007,-0.001020184,0.002383814,4.362809917,8.125203252,376414.3,9637,0,261384.1583,19779.10171,1465659.488,299128.0123,300.9445876,988.530004,18.85976363,95.15210122,0,86115.84969,10688.55795,0,6906.114655,16.69794338,0,2550.770535,15924.0344,0,0
Atka.mackerel,West,2006,-0.065577813,-0.008939248,0.011515425,4.194642857,6.882142857,101097.9,19479.8,0,18278.23271,24881.83697,457102.4546,50748.20491,12288.09128,4772.428437,0,84.1392704,1754.446094,34881.01908,26215.65383,0,7030.827005,6.908826747,267.8411122,8362.147625,12104.03461,0,949.4629892
Atka.mackerel,West,2010,0.025176367,0.006912682,0.007913823,4.369827586,7.881896552,255419.4,21341.1,395943.7,186756.3745,35363.70354,979181.2916,678882.0483,57189.87118,4056.224056,126963.7756,180.7500273,1911.747375,34805.12355,39818.97039,0,9641.649364,4524.346001,0,42560.21801,48602.65422,0,2720.567505
Atka.mackerel,West,2012,0.04307629,0.020783499,0.011086885,3.996610169,7.498305085,133587.7,13514.1,263661.2,60357.62595,19223.84853,487860.0444,458656.3069,5072.000418,879.6077577,21998.6646,2030.834428,858.744259,157512.3824,18803.74076,0,7273.319152,2825.145284,0,11195.29805,25789.06822,0,10774.88928
Atka.mackerel,West,2014,-0.06033471,-0.017938428,0.005391606,4.307462687,9.329850746,215234.7,18088.3,338455.4,202330.868,27061.32645,526529.4543,651264.513,14390.04627,9712.709975,63320.30836,780.0309899,2633.658828,324584.2772,20589.84474,0,15595.47269,724.4134755,1693.683731,24795.97958,16209.90556,651.8121618,4941.324409
Atka.mackerel,West,2016,0.025331913,0.008842157,0.007708976,4.817777778,9.185074627,156433.1,19775.1,403049,227250.0345,14331.85712,879815.3482,309253.1965,52291.06091,1929.110423,70176.00372,9.457016478,223.500742,85214.08027,0,0,23051.64754,426.9235392,0,19627.928,16246.32123,0,0
Atka.mackerel,West,2018,0.012341085,0.004682131,0.009696313,4.737209302,8.593650794,134765.5,11425.3,427439.7,208177.6782,3758.643354,816722.2764,329243.241,56269.25749,6914.607026,24546.41856,792.3542844,1887.608893,69705.50265,19160.49293,0,10635.86835,0,0,10035.0238,9117.899049,0,16399.61383
P.cod,BeringGoa,1991,0.151382078,0.006656112,0.008628426,4.7,7.261538462,0,8286.2,1500.8,597.9368251,0,590.9686231,2078.370763,6585.179654,3597.78132,0,16.1464773,0,8400.807461,10684.64429,0,2070.999844,0,0,905.9769655,116.1300159,4844.571365,0
P.cod,BeringGoa,1994,0.026409826,0.004449407,0.019004709,4.36984127,5.325396825,0,31083.6,18216.8,10416.99179,9504.298304,6544.866758,21463.44303,455.1495727,12446.24259,2920.250275,450.3260659,54.61823126,28697.305,9669.667107,0,1591.89196,0,0,3898.887604,3686.91929,62311.57101,455.4610141
P.cod,BeringGoa,1997,0.006819677,0.000876389,0.008736699,4.833333333,6.041176471,0,10742.1,12098.7,1454.93779,1163.710915,13535.89857,3751.996743,2702.77006,6165.094605,0,0.589526992,0,14360.45921,8225.329272,0,2529.258218,676.5625751,0,5376.161579,1709.808583,9126.585926,6.669826976
